,Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha),Total Area (1000 ha),Total Production (1000 tons),Total Yield (Kg per ha),Rainfall(mm)
212,204,2008,12,Uttar Pradesh,Rampur,144.2,284.65,1973.99,147.22,510.65,3468.62,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.91,1750.0,2.03,2.89,1423.65,0.21,0.29,1380.95,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,1000.0,5.2,5.4,1038.46,0.01,0.01,1000.0,0.12,0.02,166.67,3.46,3.64,1052.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,1.71,1921.35,0.01,0.01,1000.0,4.49,5.4,1202.67,23.41,118.85,5076.89,0.0,0.0,0.0,3.62,6.17,9.8,1.96,0.04,9.85,674.7199999999997,1881.3199999999995,2821.979999999999,388.0
213,189,2008,12,Uttar Pradesh,Saharanpur,66.74,148.24,2221.16,159.58,464.48,2910.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62,13.87,1441.79,0.0,0.0,0.0,0.08,0.19,2375.0,0.03,0.02,666.67,0.0,0.0,0.0,6.87,3.61,525.47,4.99,5.23,1048.1,0.31,0.06,193.55,2.16,2.21,1023.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,6.46,1020.54,203.28,1091.87,5371.26,0.02,0.0,0.0,34.1,9.83,43.92,0.85,0.05,79.77,989.9200000000001,3492.24,5238.36,768.4
214,202,2008,12,Uttar Pradesh,Shahjahanpur,213.17,482.19,2262.0,255.28,920.04,3604.04,0.0,0.0,0.0,0.0,0.0,0.0,1.58,1.64,1037.97,3.31,4.55,1374.62,2.28,4.38,1921.05,0.0,0.0,0.0,1.96,4.93,2515.31,0.15,0.15,1000.0,0.31,0.27,870.97,31.19,24.15,774.29,5.94,3.17,533.67,6.29,0.31,49.28,13.95,10.78,772.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,1000.0,26.2,14.28,545.04,39.59,208.86,5275.57,0.0,0.0,0.0,2.19,15.24,17.43,8.41,0.36,15.06,1223.64,3390.6400000000003,5085.960000000001,1192.5
215,228,2008,12,Uttar Pradesh,Sitapur,147.15,255.45,1735.98,222.93,652.59,2927.33,0.0,0.0,0.0,0.0,0.0,0.0,3.82,4.09,1070.68,3.2,2.64,825.0,16.99,7.64,449.68,0.0,0.0,0.0,1.31,2.5,1908.4,0.61,0.69,1131.15,3.97,6.01,1513.85,35.42,24.29,685.77,1.9,1.17,615.79,6.47,1.25,193.2,18.71,14.95,799.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.01,500.0,27.09,17.38,641.57,122.59,542.97,4429.15,0.01,0.0,0.0,15.71,7.15,22.86,4.14,0.18,6.63,1264.1000000000001,3081.9200000000005,4622.880000000001,1581.6
216,234,2008,12,Uttar Pradesh,Sultanpur,159.67,350.95,2197.97,167.73,473.63,2823.76,0.0,0.0,0.0,0.0,0.0,0.0,7.14,5.29,740.9,0.25,0.42,1680.0,4.95,4.54,917.17,0.0,0.0,0.0,2.15,5.01,2330.23,6.74,6.96,1032.64,7.83,7.68,980.84,26.96,23.82,883.53,0.03,0.02,666.67,0.34,0.06,176.47,4.0,2.58,645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.06,461.54,0.05,0.09,1800.0,0.0,0.0,0.0,4.55,2.81,617.58,10.43,48.04,4605.94,0.0,0.0,0.0,12.53,13.36,25.89,7.15,1.05,11.44,845.2599999999996,1892.7399999999993,2839.1099999999988,1165.9
217,226,2008,12,Uttar Pradesh,Unnao,95.99,202.24,2106.89,232.48,687.08,2955.44,0.0,0.0,0.0,0.0,0.0,0.0,4.98,6.4,1285.14,1.47,1.55,1054.42,35.29,43.87,1243.13,0.0,0.0,0.0,2.06,3.93,1907.77,3.99,4.51,1130.33,3.34,6.02,1802.4,28.53,16.0,560.81,2.84,2.38,838.03,6.45,2.66,412.4,13.87,12.65,912.04,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,500.0,0.1,0.21,2100.0,0.0,0.0,0.0,23.32,17.92,768.44,1.15,5.45,4739.13,0.0,0.0,0.0,18.01,15.5,33.51,7.82,0.42,7.55,963.4999999999999,2057.64,3086.46,809.3000000000001
218,216,2008,12,Uttar Pradesh,Varanasi,196.63,476.53,2423.49,212.59,541.84,2548.76,0.0,0.0,0.0,0.0,0.0,0.0,4.29,5.28,1230.77,16.97,17.42,1026.52,3.69,4.48,1214.09,0.0,0.0,0.0,1.49,2.75,1845.64,4.71,4.84,1027.6,10.81,9.23,853.84,19.5,15.3,784.62,0.01,0.01,1000.0,0.63,0.1,158.73,1.2,1.28,1066.67,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.19,174.31,0.0,0.0,0.0,0.0,0.0,0.0,2.93,1.59,542.66,5.86,26.88,4587.03,0.0,0.0,0.0,3.37,9.44,12.8,5.23,0.33,6.63,982.0,2234.9799999999996,3352.4699999999993,1210.3
219,240,2008,16,Uttarakhand,Chamoli,20.92,30.76,1470.36,29.76,31.17,1047.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,1.65,1092.72,16.45,26.12,1587.84,2.81,3.0,1067.62,0.0,0.0,0.0,0.25,0.16,640.0,3.27,2.38,727.83,0.0,0.0,0.0,0.05,0.01,200.0,1.14,0.42,368.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.8,1025.64,0.83,0.81,975.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,2.08,0.05,0.09,159.7,199.2,298.79999999999995,942.6
220,244,2008,16,Uttarakhand,Dehradun,11.62,24.01,2066.27,20.31,39.26,1933.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51,16.65,1584.21,1.63,3.01,1846.63,0.7,0.3,428.57,0.02,0.01,500.0,0.24,0.22,916.67,2.92,2.26,773.97,0.15,0.12,800.0,0.22,0.04,181.82,0.18,0.09,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,1000.0,0.38,0.18,473.68,5.0,31.62,6324.0,0.0,0.0,0.0,2.81,2.89,5.7,0.98,0.04,2.65,115.36000000000001,241.42000000000007,362.1300000000001,2383.0
221,237,2008,16,Uttarakhand,Nainital,130.89,341.47,2608.83,127.91,445.01,3479.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79,8.84,1301.91,3.25,4.02,1236.92,1.16,1.39,1198.28,0.35,0.15,428.57,0.0,0.0,0.0,9.01,5.2,577.14,0.02,0.02,1000.0,0.06,0.01,166.67,7.26,6.73,927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,7.48,1908.16,4.0,7.5,1875.0,33.2,176.27,5309.34,0.0,0.0,0.0,6.91,10.45,17.36,4.96,0.3,10.99,679.38,2029.68,3044.52,1802.2
222,807,2008,13,West Bengal,Bankura,371.1,1025.8,2764.21,3.9,7.8,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.56,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,1000.0,0.01,0.0,0.0,0.28,0.18,642.86,0.61,0.96,1573.77,28.07,14.95,532.6,14.61,10.73,734.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.32,10666.67,0.27,0.09,333.33,7.26,83.95,91.21,32.65,0.79,0.01,918.4199999999997,2292.2999999999997,3438.45,1557.9
223,806,2008,13,West Bengal,Birbhum,393.9,1212.4,3077.94,34.9,98.1,2810.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.71,1543.48,0.0,0.0,0.0,0.0,0.0,0.0,9.43,11.28,1196.18,0.04,0.02,500.0,6.84,4.0,584.8,0.09,0.13,1444.44,4.44,2.47,556.31,34.26,28.96,845.3,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.04,166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,12.64,7850.93,0.38,0.09,236.84,5.14,70.79,75.92,18.7,1.11,0.28,1020.8599999999998,2885.48,4328.22,1399.3
224,805,2008,13,West Bengal,Burdwan,666.5,1876.2,2815.0,2.0,4.7,2350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,1.11,2312.5,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,1166.67,0.0,0.0,0.0,2.74,1.43,521.9,2.18,4.07,1866.97,20.2,9.73,481.68,27.1,19.89,733.95,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.03,130.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,4.72,7375.0,2.68,0.89,332.09,7.83,114.17,122.0,55.66,0.88,0.0,1576.6,4075.7800000000007,6113.670000000001,1638.3
225,816,2008,13,West Bengal,Cooch Behar,309.8,500.4,1615.24,10.2,16.6,1627.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.47,48.84,5766.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,1000.0,7.08,4.38,618.64,0.65,0.45,692.31,0.45,0.32,711.11,9.96,3.17,318.27,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.1,149.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.49,388.89,5.84,80.57,86.41,27.51,0.51,0.08,763.8199999999998,1311.7000000000003,1967.5500000000004,2830.6
226,813,2008,13,West Bengal,Darjeeling,32.5,68.7,2113.85,2.0,2.8,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.76,42.89,2721.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7,583.33,0.04,0.06,1500.0,0.14,0.09,642.86,0.22,0.12,545.45,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.02,222.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,8000.0,0.16,0.07,437.5,11.16,28.99,40.14,7.32,0.05,0.0,141.2,289.14000000000004,433.71000000000004,3316.1
227,810,2008,13,West Bengal,Hooghly,305.7,876.3,2866.54,1.6,3.6,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.19,1187.5,0.0,0.0,0.0,0.44,0.31,704.55,14.22,24.99,1757.38,30.83,21.27,689.91,12.64,10.54,833.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,5.25,12209.3,1.0,0.35,350.0,12.09,147.45,159.54,94.76,2.59,0.46,948.24,2186.68,3280.0199999999995,1424.3
228,811,2008,13,West Bengal,Howrah,115.3,207.0,1795.32,0.1,0.2,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.1,1111.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,700.0,3.76,6.07,1614.36,1.71,1.59,929.82,1.12,0.47,419.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.53,8833.33,2.9,0.89,306.9,2.16,19.28,21.44,6.64,0.13,0.0,269.68,473.9199999999999,710.8799999999999,1707.5
229,812,2008,13,West Bengal,Jalpaiguri,235.5,391.2,1661.15,15.9,33.2,2088.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,29.08,2464.41,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,857.14,0.02,0.01,500.0,4.12,2.13,516.99,1.63,2.63,1613.5,1.36,0.91,669.12,9.88,5.07,513.16,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.21,256.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,1.11,10090.91,0.8,0.33,412.5,9.47,82.61,92.08,30.09,0.35,0.0,643.14,1097.8,1646.6999999999998,3559.3
230,814,2008,13,West Bengal,Malda,221.7,656.8,2962.56,44.4,120.0,2702.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.47,24.55,2592.4,0.0,0.0,0.0,0.0,0.0,0.0,3.42,3.23,944.44,0.03,0.02,666.67,17.16,14.65,853.73,0.26,0.17,653.85,0.16,0.06,375.0,32.68,27.22,832.93,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.08,615.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,24.27,10598.25,0.51,0.2,392.16,29.79,59.82,89.61,3.57,1.45,0.0,731.1400000000001,1865.04,2797.56,1503.4
231,804,2008,13,West Bengal,Murshidabad,399.5,1123.7,2812.77,101.8,258.3,2537.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,17.86,4487.44,0.0,0.0,0.0,0.0,0.0,0.0,3.25,3.61,1110.77,0.08,0.17,2125.0,33.67,25.22,749.03,0.1,0.15,1500.0,17.96,16.54,920.94,83.59,65.27,780.84,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.01,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97,55.0,7890.96,4.62,1.72,372.29,25.01,96.88,121.89,12.2,2.56,1.75,1385.8600000000004,3333.9799999999996,5000.969999999999,1173.8
232,803,2008,13,West Bengal,Nadia,277.2,799.5,2884.2,35.9,84.3,2348.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,6.55,2568.63,0.0,0.0,0.0,0.0,0.0,0.0,4.26,3.14,737.09,0.0,0.0,0.0,31.64,24.16,763.59,6.05,9.51,1571.9,22.62,23.8,1052.17,63.38,51.78,816.98,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.15,468.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,21.98,12143.65,0.99,0.36,363.64,20.64,87.3,107.94,5.04,2.5,0.56,944.8,2230.059999999999,3345.0899999999983,1480.2
233,817,2008,13,West Bengal,Purulia,301.0,744.2,2472.43,0.9,1.7,1888.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.04,12.6,1567.16,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,2000.0,0.14,0.06,428.57,15.94,7.02,440.4,1.09,1.21,1110.09,0.72,0.36,500.0,1.24,0.62,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.03,136.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,2.6,4814.81,0.06,0.02,333.33,5.04,35.52,40.56,0.77,0.46,0.0,671.4200000000001,1612.8400000000001,2419.26,1383.4
234,54,2009,1,Andhra Pradesh,Chittoor,54.91,170.13,3098.34,0.0,0.0,0.0,1.3,1.41,1084.62,0.0,0.0,0.0,1.3,1.41,1084.62,2.88,3.36,1166.67,1.94,9.38,4835.05,9.24,12.35,1336.58,0.0,0.0,0.0,0.0,0.0,0.0,6.67,1.43,214.39,18.41,11.25,611.08,139.43,130.86,938.54,0.7,0.22,314.29,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.14,500.0,0.01,0.0,0.0,3.28,2.65,807.93,0.0,0.0,0.0,147.63,133.86,906.73,50.58,228.85,4524.52,0.07,0.02,285.71,64.81,23.33,88.14,1.4,0.36,8.45,1009.6799999999998,1462.0200000000002,2193.03,754.4
235,46,2009,1,Andhra Pradesh,East Godavari,306.58,1073.1,3500.23,0.0,0.0,0.0,0.51,0.6,1176.47,0.03,0.12,4000.0,0.54,0.72,1333.33,0.38,0.29,763.16,8.99,63.37,7048.94,0.71,0.71,1000.0,0.0,0.0,0.0,0.5,0.82,1640.0,1.47,0.98,666.67,58.82,8.47,144.0,0.57,1.3,2280.7,2.35,0.51,217.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,600.0,0.0,0.0,0.0,1.44,1.4,972.22,0.03,0.02,666.67,60.91,135.51,2224.76,23.07,103.43,4483.31,6.85,3.34,487.59,81.81,21.7,103.52,0.0,0.53,3.04,1111.22,2833.899999999999,4250.8499999999985,607.6999999999999
236,49,2009,1,Andhra Pradesh,Guntur,362.3,1291.65,3565.11,0.0,0.0,0.0,0.37,0.43,1168.75,6.72,27.99,4167.9,7.08,28.42,4011.86,2.78,6.78,2443.38,72.01,553.5,7686.19,0.74,1.48,1993.79,0.0,0.0,0.0,52.9,86.64,1637.76,56.67,42.57,751.17,75.21,43.12,573.33,7.33,19.72,2691.13,7.4,2.18,295.03,0.6,0.02,33.33,0.0,0.0,0.0,4.62,2.86,619.04,0.0,0.0,0.0,10.98,10.77,981.56,0.0,0.0,0.0,31.14,35.65,1144.7,0.92,4.63,5024.08,166.65,96.55,579.37,28.87,13.65,42.52,0.0,0.88,36.26,1790.58,4538.980000000001,6808.470000000002,643.6
237,48,2009,1,Andhra Pradesh,Krishna,336.64,1209.29,3592.23,0.0,0.0,0.0,0.59,0.69,1169.49,2.58,9.03,3500.0,3.17,9.72,3066.25,0.0,0.0,0.0,20.42,156.02,7640.55,0.0,0.0,0.0,0.0,0.0,0.0,0.89,1.46,1640.45,3.32,2.4,722.89,124.49,148.12,1189.81,5.52,10.91,1976.45,0.46,0.1,217.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.27,0.26,962.96,0.0,0.0,0.0,12.01,95.79,7975.85,21.57,84.02,3895.22,46.9,23.92,510.02,72.28,9.14,81.42,0.0,0.06,7.53,1302.2399999999998,3521.86,5282.79,736.1
238,51,2009,1,Andhra Pradesh,Kurnool,147.35,492.63,3343.21,0.55,0.25,454.55,12.33,32.02,2597.59,60.58,99.7,1645.93,72.91,131.73,1806.71,7.6,7.03,925.1,15.95,67.24,4214.63,0.26,0.51,1993.79,0.0,0.0,0.0,254.51,361.72,1421.27,41.95,21.4,510.17,12.8,6.54,510.84,192.57,127.09,659.96,2.56,0.6,235.97,2.66,1.97,740.6,0.71,0.19,267.61,37.55,18.71,498.28,0.0,0.0,0.0,144.43,88.16,610.4,0.07,0.06,857.14,380.63,236.8,622.12,2.08,11.94,5735.45,41.34,11.5,278.09,15.13,29.81,44.95,0.01,15.36,3.46,2893.0599999999995,3525.9199999999996,5288.879999999999,767.9
239,44,2009,1,Andhra Pradesh,Srikakulam,233.89,497.78,2128.29,0.0,0.0,0.0,0.41,0.48,1170.73,0.0,0.01,2000.0,0.41,0.49,1180.72,1.47,2.12,1437.29,13.56,60.15,4437.48,3.56,4.76,1338.96,0.0,0.0,0.0,0.14,0.22,1607.14,2.09,1.39,664.27,113.29,54.2,478.4,43.97,50.26,1142.92,16.93,3.38,199.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,2.42,971.89,0.0,0.0,0.0,81.51,85.3,1046.5,16.66,60.35,3621.36,5.66,1.96,347.48,69.73,10.37,80.09,0.0,1.68,0.02,1211.54,1674.6399999999999,2511.96,874.3000000000001
240,47,2009,1,Andhra Pradesh,West Godavari,328.58,1115.06,3393.57,0.0,0.0,0.0,0.03,0.04,1333.33,0.54,1.89,3500.0,0.57,1.93,3385.96,0.0,0.0,0.0,46.88,322.41,6877.35,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.33,1650.0,1.13,0.75,663.72,32.75,8.72,266.26,6.19,13.38,2161.55,2.05,0.41,200.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,3.95,975.31,0.01,0.0,0.0,59.84,578.77,9671.96,43.1,205.05,4757.54,2.52,1.38,547.62,53.09,6.37,59.46,0.0,0.0,1.56,1163.2,4520.880000000001,6781.3200000000015,753.1
241,601,2009,17,Assam,Cachar,234.49,520.37,2219.16,0.2,0.22,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,428.57,0.24,0.18,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.13,481.48,3.12,1.8,576.92,0.0,0.0,0.0,0.01,0.0,0.0,0.06,0.03,500.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,1.95,565.22,0.73,2.93,4013.7,0.18,0.01,55.56,11.34,27.18,38.52,5.06,0.14,0.48,518.56,1109.9999999999995,1664.9999999999993,2504.4
242,602,2009,17,Assam,Darrang,325.44,468.72,1440.27,10.44,11.22,1074.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.35,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.14,700.0,0.77,0.54,701.3,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.92,634.48,30.12,16.9,561.09,0.0,0.0,0.0,0.02,0.01,500.0,0.82,0.42,512.2,0.0,0.0,0.0,0.0,0.0,0.0,37.84,19.99,528.28,3.78,14.28,3777.78,0.0,0.0,0.0,13.48,55.87,69.34,19.73,0.66,0.6,892.6799999999998,1182.04,1773.06,1608.7
243,603,2009,17,Assam,Dibrugarh,141.48,249.98,1766.89,0.31,0.34,1096.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.55,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.17,0.12,705.88,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.06,461.54,8.7,5.17,594.25,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84,5.23,591.63,0.31,1.18,3806.45,0.0,0.0,0.0,9.35,18.04,27.39,2.95,0.09,2.93,346.29999999999984,561.5200000000001,842.2800000000002,2183.1
244,604,2009,17,Assam,Goalpara,377.62,579.46,1534.5,19.0,23.32,1227.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.98,551.8,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.26,566.37,1.15,0.88,759.1,0.0,0.0,0.0,0.0,0.0,0.0,2.27,1.09,480.18,53.72,30.38,565.49,0.0,0.0,0.0,0.13,0.05,348.48,1.46,0.71,484.97,0.0,0.0,0.0,0.0,0.0,0.0,57.79,32.35,559.71,0.7,2.74,3942.53,0.06,0.0,0.0,13.2,50.45,63.64,12.44,1.63,0.52,1083.54,1448.6000000000004,2172.9000000000005,2173.6
245,606,2009,17,Assam,Karbi Anglong,126.39,250.02,1978.16,1.25,1.94,1552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.61,8.35,786.99,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.25,520.83,1.26,0.9,714.29,0.0,0.0,0.0,0.0,0.0,0.0,2.81,2.05,729.54,17.16,7.79,453.96,0.0,0.0,0.0,0.58,0.24,413.79,0.11,0.05,454.55,0.0,0.0,0.0,0.0,0.0,0.0,20.08,9.88,492.03,7.19,32.99,4588.32,1.0,0.09,90.0,7.33,5.19,12.52,0.87,0.34,0.0,394.24000000000007,640.16,960.24,872.9
246,607,2009,17,Assam,Lakhimpur,209.55,270.24,1289.62,0.93,0.71,763.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.28,736.84,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,250.0,0.08,0.06,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.15,405.41,40.24,20.66,513.42,0.0,0.0,0.0,0.11,0.05,454.55,0.02,0.01,500.0,0.0,0.0,0.0,0.0,0.0,0.0,40.63,20.83,512.68,0.43,1.62,3767.44,0.03,0.0,0.0,7.45,20.83,28.28,9.54,0.32,0.22,619.6000000000001,671.5399999999998,1007.3099999999997,2365.3
